author_id,id_paper
258434131,83373752
236599323,101847257
154191583,104643242
856452,2108410757
74253436,79796437
90796197,3141690
148751422,117305128
121024831,15082317
184483697,38728759
260501554,2191069654
275296931,2338498698
193464570,73581128
59247798,15899867
72041500,50733832
233227270,31015224
42042086,49626631
221668019,1749906
24343427,34818070
225808943,145009782
124016355,98431225
272399486,2257131289
167425546,1484347724
182392526,93326329
177927653,69421811
178260148,66700472
53552145,144602084
202182175,2057637490
274424848,2302569442
24796199,1398019483
38836509,153893476
71604150,115900511
32030403,16821052
101238913,2253625257
60462770,47054047
189114314,113587317
209349015,15271681
176564404,81417756
98089442,152873548
231651127,6158679
28530716,1807569
79698507,79394007
199667687,134935537
12652081,2072801793
61829027,2108805438
106888776,145715695
125833637,6835625
88241020,11472064
148593540,3810830
175403157,136681953
22221476,1709976
259597407,108386002
128578470,2245594154
258311982,4990273
202676897,144525028
129170273,145732210
70983763,33964300
136599075,97646251
70915265,80977018
58659163,66420306
55550503,12912318
148009834,14942299
101638070,48064040
153987615,79350107
73420227,1401550510
261119959,34336795
220653192,1825292527
118955455,1422557459
99541138,2983030
45352711,144154444
137200542,92796489
256359227,6012016
265433109,84395202
218778706,51068478
42375013,2113068877
32999889,2073884829
77909284,52616838
78780436,3986399
125983630,95926472
117257273,144928976
120059081,40696462
179125742,133956967
217022858,1707254
239282081,148490800
246081813,2150706865
62245721,70647123
133242855,47409686
26053687,148310774
275991627,5363723
56884273,1403938284
161659943,114205918
297866,3688112
124282210,103296798
24394861,2101654054
248348469,98293413
112194519,95549223
177195046,82258781
225475696,2005278790
82826594,3595759
92402955,4580512
20129802,11470917
97372547,2496484
181924342,2102211966
209697127,1474662965
157624680,94433235
122343240,102957432
257907297,2126713724
105733920,49605144
114816665,100936125
134389856,117344797
249715868,8439352
49680314,5585216
58832119,33178409
142224607,117089114
247043693,145214863
123885618,143634377
23583645,152544440
196991008,2123739992
11712803,2273947389
64607784,67108486
102021713,2052295984
182633449,98154546
160358904,48203595
27938002,1722850
203563324,81677325
286934,1946788
10372032,3105773
68382263,82651160
65165576,73415167
140065224,152309341
142152365,69041055
252567488,1996227752
211453941,1506903032
51423498,1404866045
155959512,2104857150
140742027,114207890
80100071,2064376523
73945299,31813337
56117411,2084314142
2539435,3676224
193215078,2082752029
159484974,70033533
