author_id,id_paper
120059081,96599814
120059081,92788184
239282081,108642238
239282081,108286962
246081813,2145317884
246081813,2005852632
246081813,2156163718
246081813,2146071378
246081813,47158885
133242855,101808719
133242855,40254516
133242855,4113889
133242855,46273559
133242855,145163917
133242855,48985632
133242855,6468252
133242855,50415421
133242855,108803411
26053687,2241715116
26053687,2237570099
26053687,2914634
26053687,2239706984
275991627,6465876
275991627,152967222
275991627,2317079531
275991627,2033770468
275991627,2299931243
275991627,2299928105
275991627,3585116
275991627,2796171
275991627,143945217
297866,2107388592
297866,31161567
24394861,4635849
24394861,6078456
24394861,1398587850
24394861,146064664
24394861,2275830661
24394861,2573094
112194519,26887196
112194519,152255978
112194519,7481065
82826594,3772409
82826594,2074731410
82826594,1923422
20129802,15395373
97372547,40098913
97372547,48449937
97372547,3842277
97372547,10115272
97372547,10803399
97372547,145568242
181924342,97438928
122343240,2249891404
257907297,2164693127
105733920,47217579
105733920,49832805
105733920,2108093875
105733920,2146397036
105733920,72602194
249715868,3965259
249715868,4260285
249715868,37243824
249715868,2016107
249715868,144185344
249715868,2116655463
249715868,34049729
249715868,2109509917
249715868,2070426404
249715868,5540620
249715868,2424687
249715868,5242787
249715868,3760359
49680314,51043419
49680314,2077329710
142224607,52124053
142224607,69539441
247043693,41068254
247043693,81783252
247043693,2016168
23583645,5386209
23583645,11018702
23583645,2262355
196991008,94427812
196991008,48241626
196991008,145906381
196991008,87180017
64607784,1396904193
64607784,152496861
64607784,52057564
64607784,66411784
64607784,152511775
182633449,69454272
182633449,91248949
182633449,91835554
203563324,98755170
203563324,49388285
203563324,152999573
203563324,2153076657
203563324,2079775894
140065224,113038143
140065224,2095390447
140065224,52112050
140065224,2097401483
140065224,100617395
252567488,2072289206
252567488,144325769
252567488,77820683
252567488,2073077050
252567488,3512682
51423498,40039727
51423498,39513171
51423498,2868177
51423498,3946823
51423498,2570164
51423498,1869106
51423498,144488543
155959512,2085566547
155959512,123272105
155959512,2055653335
155959512,117399769
155959512,2097855055
140742027,114956475
80100071,77162817
73945299,4143870
73945299,8627136
73945299,50257207
73945299,12105006
73945299,40595168
73945299,12116285
73945299,6765958
73945299,3860528
193215078,14112624
193215078,104498223
193215078,104167771
193215078,104588093
159484974,105022594
216893039,118566253
209114420,71722397
209114420,70046032
43368940,2056117768
43368940,144777339
43368940,34775790
43368940,5601835
87960219,117836835
87960219,8533292
137322662,5771105
137322662,1422555097
137322662,144322180
119407158,92302505
119407158,145977185
69847012,145184212
149649191,102862141
254816892,1663563148
126569443,48635242
212525885,2140926003
180267999,101750964
5157837,49337711
5157837,15696085
5157837,37970742
5157837,2744660
5157837,48960199
5157837,145893247
5157837,1758555
20990370,145268816
20990370,34190324
20990370,5060753
40915910,2078967
40915910,4166517
40915910,144944448
40915910,7515149
40915910,2247212032
40915910,2111010115
276618343,2297411
276618343,2347354263
276618343,2687987
276618343,47976273
276618343,2282503011
195065793,147121818
195065793,49928231
195065793,146199409
195065793,49346201
195065793,49886901
195065793,47452604
113470551,153549247
113470551,100830864
113470551,134422750
45576611,1401931972
45576611,1995516
128754007,31442421
255279354,38097494
201960511,7723458
201960511,7692211
201960511,4774147
201960511,2212340
246728751,2105489375
246728751,2125080769
201997859,152410283
201997859,1888288
201997859,6068224
201997859,134663247
201997859,101368481
201997859,3859393
4031381,145869040
4031381,153737204
4031381,3868886
4031381,2116198682
