author_id,author_name
2005841732,Solange Saguier Hildebrand
1798953991,Fredrick Lunenburg
49605144,Jian‐Gan Wang
2181659493,Ju Young Lee
1404524849,D. Nathaniel-James
2763309,M. Vilaplana
31442421,T. E. Allen
144671090,S. Pranoto
21473766,B. Carlson
103044401,Peter Breiding
145736293,P. Kefalas
79796437,James M. Van Alstlne
2317079531,M. S. Avelessi
1399136582,Percy Calvo-Marzal
34452719,I. M. Thomas
3136536,R. Rosychuk
2042547805,Aline Maquiné Pascareli Carlos
48921955,S. S. Ballard
149131064,智勇 井上
3595759,F. Tenora
2256331184,Lloyd S. Miller
9794008,Aryan Makhdoumi
73541751,Csr Zhuzhou
89679511,D. Ruiz
2266014,A. Lokshin
135176989,もも いいだ
1409447952,Fang Dong
73282333,W. Jun-nian
2110621917,Michael A. Weber
12572739,Nicholas De Rosa
4069850,D. Gerding
14776359,Irena Nevjestić
2244482821,Malihe Brojerdi
143615646,L. Thal
13572038,H. Aldersey
83424562,N. Emami
4092855,R. Schweins
94174695,Daniela Sehm
6837755,W. Wu
2243592619,Homero Habel Rodrigues
143644398,Deng Hang
100818821,T. Calabrese
103133337,Diana Mărginean Petrovai
2773796,S. Gogarten
114088913,M. Stroiczek
2239810481,Michael A. Sutton
74925626,鶴町 保
31461755,V. Kutuzov
152309341,刘亮
145177048,R. Ingram
3410185,M. Wright
49089634,O. Albanese
98755170,Rongqing Tan
1441229064,彼得拉·泽曼
2126149186,Song-lin Wu
145399639,S. Garg
38315670,B. Liang
6576435,M. Ercken
13310688,Amadeus S. Zhu
5303727,J. Manson
67213530,A. Alissa
31984392,L. Duo
66026197,ほか
7012632,Xiaojian Sun
104090208,Yasuo Hatate
2405073,Davide Calvaresi
102402231,L. F. Moskovskaya
72013689,L. Mastropasqua
2074613955,Kata Kunci
2988600,Ravish Bhagdev
88660975,Angélica C. Ferreira
2177069171,B. Djafari-Rouhani
145378244,F. R. Brown
2334111,J. Christou
6839870,Philip Sauré
82855270,洪中山
9205760,D. Condurache
46989663,E. D. del Arco
80211433,Гарольд Ефимович Зборовский
143601763,P. Donoghue
120168370,F. M. Leite
46977347,Y. Furukawa
3651262,E. Obermann
6174320,A. Nocera
2143260724,Mary Mah Babey
71738190,Rashidi Abas
40772603,V. Mohanavel
5568885,N. Birbilis
4842067,Lucia Kriváneková
1489349212,Alisa Isaac
6208680,R. Stover
32899884,C. Hornik
31788569,G. Cappuccio
80715900,温熙森
2032675,D. Westerman
71722397,盖晓东
48900517,E. Ferrari
152348512,Kadir Ardıç
2138956017,Yansa Zulkarnain
6585172,T. Bergman
2277339053,M. Catherwood
1432336369,Diane Canone-Weber
2131724061,T. Go
144436549,A. Kossev
120161405,E. Ponomareva
4838626,M. Seroczyńska
2054918565,Huang Xi
2237570099,Ilpo T. Huhtaniemi
74932086,P. Diederich
2146661880,Gang Chen
40370033,D. Rosen
37590659,John M. Talbot
4759680,B. Bulic
2237809085,Kotaro Tanimoto
144482682,R. L. Holcomb
3431274,S. Han
2250630394,G. Akoun
2110243014,Fábio Castagna da Silva
2052691586,David Burnett
86947694,Shu HengPin
18951389,A. Fukuyama
9205229,O. Sakata
2128908430,N. V. Vasilchenko
2297199414,Mohammad Noman
2163818089,Nur' Aini
2113775536,Carmen E. R. M. Jacobs
97438928,多勢 隆
117307328,M. Audet
5544325,G. Manganaris
104667021,K. D. Klitgord
40631102,Angelo Lovece
91615000,H. Grimmeiss
82978423,H. Adou
2058684878,V. N. Malyshev
71009834,H. Chui
148072926,Simon Keenlyside
34948956,R. Clowes
2108897111,Chun Wang
144623033,W. Swoboda
144940866,P. Guest
2108840185,Hua Li
88700271,E. Kavlentis
143963032,P. Bischoff
97495091,M. Jorat
52103764,A. Savvaris
8140599,H. Nagler
1399212341,J. Vargas-Bonilla
46348340,Y. Zhen
12801075,L. A. Maloletkina
98592845,K. J. Falter
51174839,Yuze Yan
134629235,R. Christoph
2064376523,F. Proft
39878913,X. Dai
75132953,小林 慎
74040830,О.А. Кичерова
2297691994,Nina Rapisarda
8809933,Kirsten E. Herbert
50376709,B. Kar
2321606759,Ida Ayu Komang Tiara Pratistha Sari
92912327,Bjoern Erik Mai
2574706,A. Pazirandeh
98431225,陈圣兵
46422045,W. Bernhard
4127145,N. Siraisi
5819775,A. Akbarzadeh
65792249,Kangsoo Kim
102242165,K. Ohkawa
8677434,S. Mhaske
101216153,M. Agueros
2237861754,A. Baltuska
2069360468,M. Farmer
122792344,M. Bassyouni
94682334,Yong-Hee Lee
1863768,S. Ten
6269761,G. Ciasca
66653937,Xiandeng Wu
2242918047,C. G. Perry
135740644,岡田 幹治
2407026,Katja Losemann
2250826487,M. Kohara
1728933,T. Feder
8372238,J. Lepers
2105489375,Sofyan Rizal
4801172,B. Battur
94865927,宮部 英也
2159432227,Winda May Purwanti
89493869,Duke String Quartet
5810378,C. Agerstrand
2111206798,Mary Miller
152372634,C. Eijk
145079559,Miner Xie
2065101302,G. C. Santos
23683368,G. Korayem
100896071,Gary A. Stradiotto
12521505,H. Hasar
50418962,Chiang-Ching Huang
2056181172,Joao Reis
39855545,J. Rifé
2110224695,Jinfei Wang
146199409,Andrew Suen
92656516,W. Laprus
2212340,M. Steinmetz
88544399,Wang Wenshan
2266846734,Shigenori Miura
6975916,A. Campagnoni
93327683,И. С. Манак
66750707,L. MacPherson
95549223,Bonaiuto
1486177497,Javiera Elisa Muñoz-Hurtado
2145953834,Yang Zhang
2273550430,Seunghyo Noh
145539848,W. Mohr
121663378,Arturo Ferreira
3860528,A. Dannenberg
2053843340,P. Engel
2070756993,H. Reid
112949780,A. García
3727649,R. Esch
91744760,Богатырев Александр Федорович
4289131,N. Marsan
2117477952,B. Coyle-Asbil
31570782,D. B. L. Gravina
50161015,D. Vassallo
52554440,K. Aarsen
48318169,Cristina Bertocchi
1709976,R. Diestel
3812826,D. Ding
83373752,Л.И. Рейхерт
13010196,M. Jarolím
47243558,Wang Bin
48994600,S. Maggi
122575812,Roberto Fernández Retamar
47733304,Serena S. Small
66952418,Martina Kunstová
108286962,О. М. Хлыстов
6526816,J. Widimský
1484033886,Jorge Coria Ping Wang Benjamin Boesl Sakhrat Khizroev Kao Yang
70647123,Sarah Prasasti
36858123,Hiroshi Serizawa
40540660,C. Ercole
3252297,S. Tung
50507940,Z. Tomic
6278013,A. Manouchehri
23282309,Yichao Fang
1737692,P. Marwedel
102537698,S. Przeździecki
34062971,R. Smith
48817612,F. Tonetti
2109087910,Kulbir Singh
90356917,E. Tunieva
2268056745,C. Hohl
104335221,Roberto Wagner Marquesi
26983242,M. Pandya
143951719,J. Beehner
30612729,M. Škorić
48033278,M. Lang
2202780,P. Koringa
46307293,Dongping Huang
47302557,G. Delumeau
145341138,H. Hou
1521517836,李怀成
3463418,A. Markovitz
81433851,勇成 大嶋
2144715617,Zhao Wang
46338702,H. Heynemann
103296798,S. Gordon
2500345,J. Lario
118049120,М. А. Суздалова
4306950,Kenta Uchibe
117440562,Ping Liu
3212761,Y. Nakashima
1399511395,F. Flôr-de-Lima
82381217,D. Maurice
13608644,C. Lozano Tonkín
5217166,Kashif Shakeel
118566253,Хабарина Наталья Евгеньевна
143767686,P. Sivaprasad
81783252,V. Ambikapathy
49881130,E. Forfang
145490521,Rui Wang
2243033549,A. T. Khan
4992560,J. Řeháček
14158039,E. Taşkan
2082808341,Elisa Francia
12469693,Geraldo Gaspar Paes Leme Coutinho
102662663,酒井 清
21210699,E. Schmutzer
91091755,Heri Istiono
1758555,F. Ciravegna
152249084,H. Sader
1891510,F. D. Luca
3986628,A. Laborante
50884628,M. Bökstedt
134119092,I. Stauche
2552624,R. Weiss
2028815550,A. Abebe
2078747179,Archie Gottler
2256071926,S. Burke-Spolaor
12019344,C. Zazo
3105773,Min-Cheng Pan
49030558,J. Wightman
87327608,G. Sirchi
3278147,M. Moghiman
2132593162,Pontjo Bambang
136345530,福島 菊次郎
35883329,J. Hussey
7723458,Nicolas R. Thompson
118488932,Fabio Nelson Rodríguez Díaz
49267240,Li Yongqiang
14866924,V. Opryshko
2134077,E. Hyon
